destination	operation	source	why	options
120mm_mortarhit1.ogg	copy	fortnite_weapons:modes/battle_royale/Explosive Weapons/Rocket Launcher/Rocket Launcher (v11.00 - Explosion - Close 03).ogg	round into a target	
awp_sniper_riflehit1.ogg	copy	sandstorm_raw:Physics/flesh_bullet_impact_06.ogg	round into a body	
barrett_mradreloadend.ogg	copy	sandstorm:Weapon_M24/handling/m24_foley_bolt_forward_reload_end.wav	last motion of a sniper_rifle reload	
bullpup_marksman_riflereloadend.ogg	copy	sandstorm:Weapon_FnFal/handling/fal_foley_charging_handle_release.wav	last motion of a battle_rifle reload	
chainsawreload.ogg	concat	sandstorm:Weapon_M249/handling/m249_foley_foley_belt_pull.wav|sandstorm:Weapon_M249/handling/m249_foley_boltcharge.wav	pull start: handling foley standing in for a two-stroke prime	
colt_m1911reloadend.ogg	copy	sandstorm:Weapon_M1911/handling/m1911_foley_slide_release.wav	last motion of a pistol reload	
desert_eaglehit1.ogg	copy	sandstorm_raw:Physics/flesh_bullet_impact_03.ogg	round into a body	
dingo_lmgreloadend.ogg	copy	sandstorm:Weapon_M249/handling/m249_foley_lid_close.wav	last motion of a light_machine_gun reload	
dragunov_pslreloadend.ogg	copy	sandstorm:Weapon_M24/handling/m24_foley_bolt_forward_reload_end.wav	last motion of a sniper_rifle reload	
er_ak74mmode_full automatic.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to full automatic: 3 detents	
er_ak74mmode_semi-automatic.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to semi-automatic: 1 detent	
er_ak74mreloadend.ogg	copy	sandstorm:Weapon_M16A4/handling/m16_foley_boltrelease.wav	last motion of a assault_rifle reload	
er_ak74munload.ogg	copy	sandstorm:Weapon_M16A4/handling/m16_foley_mag_out.wav	feed device out of a assault_rifle	
er_automatic_riflemode_burst.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to burst: 2 detents	
er_automatic_riflemode_full automatic.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav|sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to full automatic: 3 detents	
er_automatic_riflemode_semi-automatic.ogg	concat	sandstorm:Weapon_M16A4/handling/m16_foley_fire_select.wav	selector to semi-automatic: 1 detent	
er_automatic_riflereloadend.ogg	copy	sandstorm:Weapon_M16A4/handling/m16_foley_boltrelease.wav	last motion of a assault_rifle reload	
er_automatic_rifleunload.ogg	copy	sandstorm:Weapon_M16A4/handling/m16_foley_mag_out.wav	feed device out of a assault_rifle	
er_awds_uzimode_full automatic.ogg	concat	sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav|sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav|sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav	selector to full automatic: 3 detents	
er_awds_uzimode_semi-automatic.ogg	concat	sandstorm:Weapon_MP5/handling/mp5_foley_fire_select.wav	selector to semi-automatic: 1 detent	
er_awds_uzireloadend.ogg	copy	sandstorm:Weapon_MP5/handling/mp5_foley_bolt_unlock.wav	last motion of a submachine_gun reload	
er_awds_uziunload.ogg	copy	sandstorm:Weapon_MP5/handling/mp5_foley_mag_out.wav	feed device out of a submachine_gun	
er_double_barrelmode_scattershot.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav|sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to scattershot: 2 detents	
er_double_barrelmode_semi-automatic.ogg	concat	sandstorm:Weapon_Model870/handling/model870_foley_safety.wav	selector to semi-automatic: 1 detent	
er_double_barrelreloadend.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_close_slide.wav	last motion of a shotgun reload	
er_double_barrelunload.ogg	copy	sandstorm:Weapon_Model870/handling/model870_foley_open_slide.wav	feed device out of a shotgun	
er_drgundist.ogg	copy	fortnite_weapons:modes/battle_royale/Assault Weapons/Pulse Rifle/Pulse Rifle (Shoot - Hipfire - Distant 01).ogg	the projector heard from across a street	
er_drgundraw.ogg	copy	fortnite_weapons:modes/battle_royale/Assault Weapons/Pulse Rifle/Pulse Rifle (Equip).ogg	energy weapon brought up; the projector had no draw at all	
er_drgunempty.ogg	copy	fortnite_weapons:modes/battle_royale/Assault Weapons/Pulse Rifle/Pulse Rifle (Shoot - Low Ammo).ogg	energy weapon out of charge	
er_drgunholster.ogg	copy	fortnite_weapons:modes/battle_royale/Submachine Guns/Kymera Ray Gun/Kymera Ray Gun (Drop 01).ogg	energy weapon put away	
er_drgunmode_focused.ogg	concat	fortnite_weapons:modes/battle_royale/Assault Weapons/Pulse Rifle/Pulse Rifle (ADS - In).ogg	selector to focused: 1 detent	
er_drgunmode_semi-automatic.ogg	concat	fortnite_weapons:modes/battle_royale/Assault Weapons/Pulse Rifle/Pulse Rifle (ADS - In).ogg	selector to semi-automatic: 1 detent	
er_drgunreload.ogg	concat	fortnite_weapons:LTM_weapons/Marvel/Stark Industries Energy Rifle/Stark Industries Energy Rifle (Reload - Start).ogg|fortnite_weapons:LTM_weapons/Marvel/Stark Industries Energy Rifle/Stark Industries Energy Rifle (Reload - Insert).ogg|fortnite_weapons:LTM_weapons/Marvel/Stark Industries Energy Rifle/Stark Industries Energy Rifle (Reload - End).ogg	one continuous cell change, built from the three stages	
er_drgunreloadend.ogg	copy	fortnite_weapons:LTM_weapons/Marvel/Stark Industries Energy Rifle/Stark Industries Energy Rifle (Reload - End).ogg	the last click of the cell change	
er_drgununload.ogg	copy	fortnite_weapons:LTM_weapons/Marvel/Stark Industries Energy Rifle/Stark Industries Energy Rifle (Reload - Start).ogg	cell taken back out	
er_glass_bottleholster.ogg	copy	sandstorm:Weapon_M9/handling/m9_foley_mag_out_arm_movement.wav	cloth and arm movement; a bottle going away makes no mechanism noise	
er_m60reloadend.ogg	copy	sandstorm:Weapon_M249/handling/m249_foley_lid_close.wav	last motion of a light_machine_gun reload	
